N,Norm,Lambda,Gamma,K,LR_Entire_Time,LR_Entire_MAE,LR_Entire_RMSE,LR_Entire_MAD,LR_Cluster_Time_Avg,LR_Cluster_MAE_Avg,LR_Cluster_RMSE_Avg,LR_Cluster_MAD_Avg,LR_Euc_Time_Avg,LR_Euc_MAE_Avg,LR_Euc_RMSE_Avg,LR_Euc_MAD_Avg,RF_Entire_Time,RF_Entire_MAE,RF_Entire_RMSE,RF_Entire_MAD,RF_Cluster_Time_Avg,RF_Cluster_MAE_Avg,RF_Cluster_RMSE_Avg,RF_Cluster_MAD_Avg,RF_Euc_Time_Avg,RF_Euc_MAE_Avg,RF_Euc_RMSE_Avg,RF_Euc_MAD_Avg,NN_Entire_Time,NN_Entire_MAE,NN_Entire_RMSE,NN_Entire_MAD,NN_Cluster_Time_Avg,NN_Cluster_MAE_Avg,NN_Cluster_RMSE_Avg,NN_Cluster_MAD_Avg,NN_Euc_Time_Avg,NN_Euc_MAE_Avg,NN_Euc_RMSE_Avg,NN_Euc_MAD_Avg,GP_Entire_Time,GP_Entire_MAE,GP_Entire_RMSE,GP_Entire_MAD,GP_Cluster_Time_Avg,GP_Cluster_MAE_Avg,GP_Cluster_RMSE_Avg,GP_Cluster_MAD_Avg,GP_Euc_Time_Avg,GP_Euc_MAE_Avg,GP_Euc_RMSE_Avg,GP_Euc_MAD_Avg,GB_Entire_Time,GB_Entire_MAE,GB_Entire_RMSE,GB_Entire_MAD,GB_Cluster_Time_Avg,GB_Cluster_MAE_Avg,GB_Cluster_RMSE_Avg,GB_Cluster_MAD_Avg,GB_Euc_Time_Avg,GB_Euc_MAE_Avg,GB_Euc_RMSE_Avg,GB_Euc_MAD_Avg,GP_Entire_RMSEnorm,GP_Cluster_RMSEnorm,GP_Euc_RMSEnorm
1000,1,0.1,2.0,5,0.000356912612915,0.0317455583950572,0.0434654806695501,0.0233548458222685,0.0002838134765625,0.4005573135250855,0.4943024170384983,0.3876116733620981,0.0003089904785156,0.2059723476533602,0.4975401491650316,0.1104128589366682,0.1439199447631836,0.0268465585836075,0.035362959037362,0.0214689394797813,0.0537055492401123,0.2242411503885385,0.31229667834103,0.1525240199452712,0.0538893222808837,0.1511712253508253,0.3079890131900489,0.0948363062705042,0.0724179744720459,0.0568896303348834,0.0798954307360582,0.0453629600146232,0.026479148864746,0.2133638941929434,0.2945624748983122,0.1457717973121649,0.0319595336914062,0.2223691015912411,0.480508332054652,0.1285095619130493,0.2030251026153564,0.047523502,0.08538143,0.030398354,0.0494143962860107,0.18205574,0.2593207,0.111642346,0.0469274520874023,0.22937259,0.5676478,0.12303834,0.0641970634460449,0.0229250731742736,0.0298371291622392,0.0195987145590764,0.0197725296020507,0.1510675518566053,0.2292885311061686,0.1069474802694644,0.0197050094604492,0.1080059262996888,0.153461428599417,0.0718205992335366,0.017334573587195867,0.012814175834965696,0.026638264937019325
10000,1,0.9,1.0,3,0.0010831356048583,0.0679280310115107,0.3219772320780228,0.0359716131146422,0.0007390181223551,0.0967384215737575,0.2759004119682224,0.0602257405304506,0.0008157094319661,0.1339008915097624,0.3611311607589738,0.0870481855744885,2.4440677165985107,0.0476680762019402,0.2385079441042238,0.018077185770179,0.7719139258066813,0.0864989670367247,0.242887002449244,0.0427468417336335,0.7736523946126302,0.0917493793962368,0.3453941263079971,0.0385702937757582,1.9495091438293457,0.0745713136927,0.2917658414157733,0.0281607604297797,0.672663688659668,0.0960940936041168,0.2500601528286586,0.0493887830773328,0.4382819334665934,0.118901753442794,0.3426580822980699,0.0526216174880343,12.647831201553345,0.07100507,0.2592053,0.02452065,2.092898368835449,0.07655805,0.20779021,0.03705256,1.9060086409250896,0.091036946,0.33404863,0.034263242,0.8902230262756348,0.0485832256868725,0.2365500595444715,0.023290466776537,0.2966476281483968,0.0798221640920073,0.2369530765853955,0.0437124818251974,0.2957535584767659,0.085442092602446,0.3242953216061673,0.0421012940561447,3.2783848809479954,0.43488379156897544,0.6366995752691882
1000,1,0.1,2.0,4,0.0003478527069091,0.0317455583950572,0.0434654806695501,0.0233548458222685,0.0002937316894531,0.0938253424280929,0.1310255623142027,0.0765018672002831,0.0003400444984436,0.1193335796846436,0.1591469381591232,0.0969104614281262,0.1417169570922851,0.0275112177974869,0.0363722237981315,0.0207572755016542,0.0607526898384094,0.0982615039000774,0.1483920122172869,0.0707997164016488,0.0585424900054931,0.0774461476545558,0.1120658792333749,0.0531935169147674,0.0502710342407226,0.045142157178905,0.0641192331258895,0.0340754662739932,0.0399165153503418,0.1204395852084245,0.1861513026832325,0.0786081993284696,0.0331041812896728,0.1292324688369611,0.1876440811644978,0.1006086522811471,0.1980268955230713,0.047523502,0.08538143,0.030398354,0.0589026808738708,0.103373095,0.17265856,0.06926249,0.0499529242515563,0.10506934,0.17928883,0.0619057,0.0654630661010742,0.0229676689155584,0.0298202876034133,0.0198961811555146,0.0228238105773925,0.0919367301909091,0.1352778252040556,0.0628174350959778,0.0223712921142578,0.0740033645392473,0.1108556677845362,0.0520933239575327,0.016907819518220422,0.010170052059822073,0.008956001344140156
10000,2,0.5,2.0,6,0.000781774520874,0.0679280310115107,0.3219772320780228,0.0359716131146422,0.0003389914830525,0.1501740409975315,0.3257420059747021,0.1063189889036734,0.0003597338994344,0.1829137920009184,0.3394203420257661,0.1367569310440212,1.7078018188476562,0.0474464899714428,0.2398975279626993,0.0181736768801675,0.2649551232655843,0.1465092326287498,0.3642517178426314,0.0779540978623987,0.2634032567342122,0.132810879584367,0.3063325167174244,0.0742769815289253,1.3823580741882324,0.0744656603512683,0.2935195389057989,0.0262725320894392,0.2093987464904785,0.1286798354505387,0.3041719495639857,0.0699245025671103,0.1739578247070312,0.1444796052463979,0.3137086981555408,0.0782817453922222,9.158543825149536,0.06957537,0.2602029,0.021611013,0.4285693963368733,0.12466249,0.29661998,0.06833093,0.471967339515686,0.1289147,0.30317137,0.0697282,0.6312639713287354,0.0485707117553738,0.2364994875116097,0.023290466776537,0.1075771649678548,0.1392780600517696,0.3596132774485222,0.077589906999554,0.1072325706481933,0.1305576175663329,0.3195367382728931,0.0724227094154421,2.3830796630810025,0.12712224577005543,0.14308698491622565
10000,1,0.5,2.0,3,0.0010948181152343,0.0679280310115107,0.3219772320780228,0.0359716131146422,0.0007548332214355,0.1045918109895495,0.3100514930474837,0.0603438499162831,0.0006738503774007,0.1339008915097624,0.3611311607589738,0.0870481855744885,2.4377689361572266,0.0471056448291885,0.2315308081323922,0.0183401445458416,0.7686537901560465,0.0899015301167312,0.2675384524560543,0.0429573747469851,0.763639767964681,0.0902185917114566,0.3356297625565133,0.0394039114550772,2.714891195297241,0.0736529308703066,0.2764027483288285,0.0281860250010325,0.5647219816843668,0.1017899096871586,0.2748189702312154,0.0504521204217948,0.5234982967376709,0.1214359734515397,0.3420724089060546,0.0565712685728268,12.795983791351318,0.07154077,0.259266,0.02538693,2.058960755666097,0.081966035,0.22772126,0.038146734,1.8696620464324951,0.0909367,0.33336708,0.034757853,0.8863182067871094,0.0486951799845293,0.236715885174079,0.023290466776537,0.2962796688079834,0.0866665773976178,0.2872134853259922,0.0448719074679538,0.2947594324747721,0.0856189966331322,0.3268472782120212,0.0421012940561447,3.317563533648491,0.4688691375708358,0.6232837770060253
10000,2,0.9,1.0,6,0.000788927078247,0.0679280310115107,0.3219772320780228,0.0359716131146422,0.0004100799560546,0.1525979148914152,0.3365610805372525,0.1049623311987637,0.0003720124562581,0.1829137920009184,0.3394203420257661,0.1367569310440212,1.70741605758667,0.0472377220245483,0.2362567474547736,0.0182316262153447,0.2649783293406169,0.1512608698134707,0.3685743108590313,0.0817155561641365,0.2614667812983195,0.1332619799318939,0.3122062919191231,0.0736998216083773,1.0816748142242432,0.0738679528636598,0.2958589610429529,0.0274469670709111,0.2224584420522054,0.1360770822068167,0.3107246432938496,0.0772082614483511,0.1526032288869222,0.146124501281098,0.3141310655485964,0.0758443307631151,9.344268083572388,0.07084357,0.2597708,0.023690566,0.4298341671625773,0.12310147,0.277556,0.06936137,0.4666093587875366,0.12903187,0.30353007,0.06931292,0.6668710708618164,0.0488330583818513,0.2373448222965578,0.023290466776537,0.1064278284708658,0.1444570416965805,0.3778070967789134,0.0762523194615715,0.1059686342875162,0.1300786356599736,0.3171059664646175,0.0724544732202514,2.427367995484066,0.1193030521009763,0.1416299713354361
5000,1,0.5,0.5,5,0.0006349086761474,0.0660671625704012,0.2627241057286416,0.0444733820926332,0.0003159999847412,0.1478628922151108,0.3936392437924352,0.0996669352438607,0.0003506660461425,0.1880569156230415,0.4693379241917447,0.1169846877214776,0.7721438407897949,0.0430958750078779,0.2084132179415297,0.0201787984019934,0.1619405746459961,0.1407383565177444,0.3971515310072242,0.0691612537560652,0.1585797786712646,0.184056567036576,0.5937269671198482,0.0683928317248055,0.9571709632873536,0.0754719838743516,0.2507278956174916,0.0285967417902573,0.1539610385894775,0.147597655799163,0.3920207051639143,0.0703418506916637,0.1203127861022949,0.1723811738999572,0.4561062765238852,0.0816659612460262,2.6758720874786377,0.07379329,0.24566571,0.027475148,0.1825365543365478,0.13628717,0.36097506,0.06258352,0.1871046066284179,0.17027134,0.50219834,0.06758709,0.3069410324096679,0.0436652674127041,0.1863626891220796,0.0244686980721396,0.0650010108947753,0.1294720061747901,0.3846936711990606,0.0645610703285772,0.066377305984497,0.1782516103701982,0.593168127115621,0.0666910905059694,0.6573700162396217,0.0658911436538286,0.09396362285514447
5000,1,0.5,2.0,4,0.0006337165832519,0.0660671625704012,0.2627241057286416,0.0444733820926332,0.0003755092620849,0.1315942780558317,0.3701784240704703,0.0782340817223866,0.0003086924552917,0.1825428130408337,0.5535900442820251,0.1032744465398197,0.7761998176574707,0.0432133300887393,0.1967601647200502,0.0201480553488533,0.198116660118103,0.1338525732756465,0.4073221493876075,0.062932202701762,0.1908929944038391,0.1360132491329205,0.5075004947850377,0.0512513986707305,1.100106954574585,0.0739639438185239,0.2472198347006102,0.0326580546777589,0.197745144367218,0.1264426817824591,0.3542772399803856,0.0613186641275218,0.1186745166778564,0.157163006735329,0.5212125375743604,0.0600743110050554,2.681072950363159,0.07489174,0.24572791,0.029852927,0.2611824870109558,0.12384635,0.3385084,0.059871502,0.2345985770225525,0.15079898,0.56602037,0.04684876,0.308837890625,0.0436072144164004,0.1848097578067443,0.0244686980721395,0.0791091322898864,0.1257175399000089,0.4089062741341835,0.0629777113768182,0.0802192687988281,0.1305612589630547,0.5139463142505356,0.0481417726134628,0.6588144526502728,0.08841246578609943,0.13278757336777866
500,2,0.1,1.0,6,0.0003230571746826,0.0455413939607633,0.0632221738965563,0.0316661715460603,0.0003370443979899,0.1760974524289212,0.3183058359930988,0.1233304401198712,0.0002971092859903,0.1992184329869684,0.2548694079428646,0.1738736037461873,0.0840468406677246,0.0348354101626553,0.0549568964476528,0.0237808183390768,0.0439939498901367,0.1795325228818174,0.272775818342062,0.1164833336881174,0.0430928468704223,0.161340847593279,0.2247896686198037,0.1208258188603384,0.0445129871368408,0.0678920364628107,0.092731967037235,0.0476214013438064,0.0161717335383097,0.1976697549570354,0.3581613098630953,0.1193313773307414,0.0157628059387207,0.1630625778478303,0.2388117710426581,0.1085260415079449,0.0845608711242675,0.07147561,0.10188179,0.046482205,0.0382558504740397,0.21956277,0.3699956,0.14871815,0.0343545675277709,0.13239518,0.21830045,0.07401103,0.0356590747833251,0.0329676482140877,0.0542648451241441,0.0202395652099884,0.0137051741282145,0.1618753892900851,0.2385247081418378,0.1108460483636199,0.0136026938756306,0.141747545869688,0.2207741535796942,0.0921548161017017,0.008615212914099685,0.014154496349652601,0.007499617550867775
100,1,0.1,1.0,6,0.0003018379211425,0.1959857136871199,0.2658167496676893,0.1269034823168668,0.0002681811650594,0.4626228328241404,0.5355071554047552,0.4151380923410919,0.0003018379211425,0.4626228328241404,0.5355071554047552,0.4151380923410919,0.0439000129699707,0.0348272808196441,0.0448938378517949,0.0207253657597647,0.0389517545700073,0.3366112838532181,0.3897645023066458,0.3113950727955921,0.0394589900970459,0.3427630295875146,0.3890635019359361,0.316546701115136,0.0247039794921875,0.2573474570396244,0.38319499949877,0.1035701145598497,0.0090344746907552,0.4864503435833855,0.5641594646936932,0.4419600461434355,0.0089377562204996,0.5653241450365831,0.6290911675879737,0.5901368454840635,0.0363740921020507,0.14043128,0.21644284,0.062149398,0.0293256839116414,0.34983072,0.41411725,0.3093361,0.0282585620880126,0.34983072,0.41411725,0.3093361,0.0142228603363037,0.0377107707011472,0.0540740258735654,0.023898651900638,0.0104888677597045,0.3262201989115021,0.3796444309250621,0.3336127651513862,0.0100770394007364,0.3159892786480437,0.3716797191396956,0.2951184597499429,0.007872911796989422,0.012144271575858179,0.011702358020842036
